pathway	description	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S5	S51	S52	S53	S54	S55	S6	S7	S8	S9
PWY-7234	inosine-5'-phosphate biosynthesis III	10078.9528	12308.2399	34683.0403	27322.9652	11917.0487	31138.2175	27609.3225	30275.779	24344.513	27757.7594	6738.0486	14872.3837	16476.6986	12355.7927	21938.5267	28145.4679	7471.1099	16521.5942	28709.45	21141.5902	26723.9988	14717.34	34534.5243	14330.0296	29593.3055	22859.1923	17899.6198	29809.6291	35501.1523	14033.4681	12856.4581	29011.3862	23917.4875	28509.5448	25921.4154	24178.5128	9815.856	29956.5381	11093.1732	14363.8193	13677.502	27047.7267	23440.9242	9920.3519	13253.7112	31663.3008	13572.3982	15865.827	10433.6385
PWY-7237	myo-, chiro- and scillo-inositol degradation	2919.16	2995.15	2206.37	2177.17	3665.4	3902.03	3268.63	3183.45	1744.86	7922.6	4461.78	8267.22	5012.92	7913.88	5049.15	2426.29	695.98	5321.5	2405.56	5557.24	2052.25	1745.61	4468.99	3451.94	7993.7	3466.92	3445.63	1943.9	3714.15	3308.46	9340.14	2135.89	2616.47	4010.8	1461.58	3671.1	4058.12	2242.86	5443.04	1056.38	2275.83	1803.92	3728.8	4134.91	5342.39	4739.08	2603.98	6492.55	1062.12
PWY-7242	D-fructuronate degradation	20746.1991	19035.182	34631.195	23351.0992	27831.4856	24109.6774	28058.9418	19103.8605	15021.5437	27932.5266	23643.2858	35435.7568	21099.4791	31266.2232	12199.9248	15740.7742	11193.0714	41948.4483	22992.3422	25408.4399	18624.4288	10324.9568	19227.9445	33616.7286	20253.6052	29979.482000000004	18753.5393	18897.8057	14609.2035	26098.6943	38584.6958	30420.8521	17706.2455	27867.6958	30781.2011	37146.7115	42068.3861	18670.7366	35518.5022	14610.7786	23427.8577	33871.4077	32378.6202	32411.5206	28768.2071	33377.4896	39281.6095	26518.0419	9384.1305
PWY-7254	TCA cycle VII (acetate-producers)	3532.9933	4736.4729	16802.2747	14053.0577	4138.0313	4274.3136	6843.1144	7480.6281	6785.9107	18877.8022	7538.4972	6126.1818	2662.8192	5732.5695	6671.9216	10521.4482	1655.9991	4042.3593	9701.6916	9442.6779	7938.5089	16189.1857	21292.5313	7134.272	13067.5737	6654.6759	7974.8758	10454.2293	24654.5955	5077.8167	3074.7312	11622.7836	9482.2975	10167.4094	15051.4248	11624.5124	5116.0879	3716.8349	3994.6731	5615.3117	7390.2343	10471.2382	12400.5404	7864.4738	7248.753000000001	20886.6101	6759.2152	9489.1853	2043.1143
PWY-7255	ergothioneine biosynthesis I (bacteria)	27.8109	0.0	27.9734	121.6403	23.9135	526.4247	131.7725	387.7796	162.4978	103.311	51.0116	69.3734	80.6875	23.9048	41.7142	140.1635	15.8853	57.5233	186.1045	35.8921	35.8955	0.0	218.9736	52.2529	1272.6324	27.9487	87.6545	61.7967	287.0887	144.4348	168.9663	231.1588	185.7661	89.5335	123.3098	229.0121	33.6944	132.8165	53.2569	15.958	5.9948	120.88799999999999	220.235	182.7278	11.9767	85.5827	116.4901	49.7463	52.9374
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	0.0	0.0	0.0	186.4689	0.0	14.0804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.8564	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7295	L-arabinose degradation IV	74.1786	0.0	0.0	197.3302	63.5238	107.5774	23.7579	154.8934	152.586	328.6791	0.0	0.0	3.9939999999999998	0.0	96.1713	227.7732	0.0	200.55	157.5762	83.4008	79.5679	23.3071	388.3221	74.2165	246.1063	135.835	148.3817	122.164	443.3084	0.0	25.6516	103.1828	0.0	95.3226	58.6986	324.2042	0.0	47.6509	0.0	30.8241	37.4052	0.0	176.3613	150.0231	36.7295	351.7692	63.8238	54.893	0.0
PWY-7315	dTDP-N-acetylthomosamine biosynthesis	3697.4546	3693.3790000000004	6692.8275	7302.4699	5434.7094	2564.5305	4397.4529999999995	3461.6739	11878.8577	3782.3519	2052.0893	4370.3591	4792.6725	4500.5182	1964.6591	3329.1618	1362.1561	3621.1644	4570.1061	8738.7972	4274.5577	2620.4237	5824.6741	3421.1808	6482.351	10162.0873	4235.1047	5791.592	8450.1068	5107.2858	2853.8422	6085.2709	4258.9086	6073.826	10211.5715	3889.8646	4842.1519	23696.4707	4270.7811	2770.8708	7073.7306	6555.1161	4738.5736	2736.5031	3002.3586	5589.4024	3427.155	12499.6354	2471.9411
PWY-7316	dTDP-N-acetylviosamine biosynthesis	0.0	11.9982	16.9952	25.9904	0.0	15.995999999999999	0.0	0.0	0.0	79.9204	0.0	0.0	0.0	7.9992	0.0	48.975	0.0	22.9947	0.0	0.0	27.9896	0.0	158.7433	0.0	0.0	33.9853	35.9784	24.9897	147.6802	0.0	0.0	0.0	0.0	0.0	0.0	58.9609	0.0	0.0	0.0	7.999	0.0	0.0	0.0	0.0	0.0	54.9662	0.0	0.0	0.0
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	19926.0407	17302.9764	17383.2128	19535.0845	33852.009	27015.0887	33986.4677	24443.0576	23850.9687	29557.1727	32849.8689	28461.1056	55483.9613	24878.731	23713.7651	31356.7957	20326.5463	36175.8585	17886.6222	30059.1371	20847.1187	31951.3691	25583.1935	29430.0366	28621.3984	27483.2381	15872.4021	20556.7602	20342.2182	23676.4084	32112.2263	21254.4605	23779.5396	36410.4104	19533.6504	38472.3163	30855.2178	35824.4637	35162.6656	24512.3805	17109.3268	21971.9814	27095.3859	32415.2792	34139.8391	33877.3751	30802.553	31769.8611	15189.3791
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	5094.9923	6995.8172	18990.0864	12615.4139	10391.6345	19764.1657	10959.4684	17005.031000000003	14810.1149	10337.5056	5751.0243	8375.0344	12223.8145	6722.3848	4251.3422	8541.4184	4697.7569	8191.5272	13110.3031	12348.8539	12538.6285	3296.6343	14135.7833	5094.2238	19191.79	13226.2496	6478.7984	13514.9695	15058.0359	7615.5819	6839.1056	13412.3306	8888.8095	15315.4591	15541.0576	9880.6957	5463.2419	17835.2483	8563.6265	4886.6815	6307.8926	9563.5861	9879.3689	8206.8653	9223.0802	12644.0669	5266.5674	11398.463	3548.2633
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	1670.8307	2674.1975	667.4412	1469.7897	6207.8963	2645.9952	954.5003	1598.2011	1017.5252	1173.7649	859.7037	1722.4049	995.6796	1756.0946	518.9703	2005.8228	1082.0967	6251.7973	3043.0533	2441.9029	3093.3127	368.2993	1565.7691	1641.0986	5289.097	4222.4892	2174.6217	841.056	1349.2586	1995.2193	1505.2412	1026.9139	1256.4952	702.1405	1408.8116	1111.0795	708.9886	794.4011	1120.4082	792.1835	990.7645	1124.9558	1458.4612	729.2949	1225.8116	4187.0376	1587.9084	1288.2398	703.5321
PWY-7347	sucrose biosynthesis III	4.9931	22.4743	85.3997	43.46	50.8877	570.4153	137.5783	267.7723	186.8311	159.6878	50.6831	99.3367	69.4928	40.4246	86.6245	128.3881	0.0	99.2987	32.9792	136.0997	34.474000000000004	14.9858	68.90100000000001	0.0	385.2984	43.4539	41.4303	48.7064	56.9368	27.7124	182.6204	143.6137	70.3469	147.32299999999998	91.369	156.5846	0.0	59.9313	31.4289	23.9719	36.9544	26.9821	38.2006	74.6664	19.4819	59.6525	26.2144	42.7081	69.9273
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	1261.7059	791.1501	1883.7605	1064.662	766.6642	1981.6071	1610.7945	1434.9328	1198.0248	629.9728	3075.6439	991.209	409.5684	480.5727	2695.1994	1057.357	1348.4481	1016.8779	2124.4582	788.0082	2514.6123	16664.5702	602.4008	2089.5057	2238.9617	450.7858	592.6381	661.5221	522.3049	914.904	599.9134	2227.9172	953.0326	637.8497	804.3147	1308.1426	936.3817	691.9455	586.0344	781.5319999999999	588.5987	669.4409	630.8539	1853.0706	997.1014	1215.6175	1860.0652	631.3519	537.2543
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	234.1425	70.8924	109.0504	138.9283	197.8407	42.0015	58.3694	159.4947	283.045	128.7088	0.0	91.8238	19.2934	92.4223	296.0929	660.4897	1286.6068	75.5427	1153.5279	625.8756	2383.8003	95.587	244.7425	165.5422	702.0986	106.8825	235.7535	126.7346	252.4491	273.1742	48.8259	336.9027	201.8722	251.9449	488.152	56.1334	27.3858	0.0	0.0	305.3931	228.3208	38.2843	95.711	43.2301	300.3454	148.9307	81.2481	19.5359	203.3713
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I	859.8211	294.2342	435.342	374.8682	544.6155	710.6117	272.5935	618.6906	336.7049	186.9849	248.9658	307.0014	174.1241	225.7114	159.154	302.0122	130.68200000000002	321.1613	276.4184	255.6878	124.9126	84.7407	179.6999	700.8934	1063.7511	189.6851	308.9523	182.2381	159.7297	515.8477	286.3396	328.1822	285.1896	268.9301	186.2109	351.8436	132.6732	255.0659	415.2973	115.7797	427.4414	217.3925	231.2643	1719.5512	900.8981	165.6925	439.3342	337.2164	198.4774
PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	1012.7038	1221.6578	1421.1207	3409.865	986.4917	2277.1026	1297.0489	2749.0433	2473.8396	6278.0509999999995	935.7510000000001	1209.5777	929.086	959.8610000000001	960.9448	4429.3117	661.7884	1754.0899	2323.1004	1996.1034	2275.9409	514.7681	7966.9916	1429.6067	7782.771	1573.6138	3147.2992	1881.7928	8193.0847	1634.668	986.3881	1442.5432	2353.7092	1442.1956	885.0426	4308.147	573.5073	901.5419	395.6178	1034.5506	838.145	849.9188	3759.7294	3041.1054	3316.3063	5708.0982	1877.5685	788.2125	798.6619999999999
PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	10770.5839	18424.5001	10571.1733	11658.2789	9311.5099	7088.1172	10085.6668	8030.7586	11977.0819	7652.0512	10084.4932	9845.0075	5866.7619	14547.2404	37918.6578	16262.2778	34342.3412	11384.462	11216.4622	7293.5589	13820.6513	43086.8031	19454.0915	12977.6841	8099.5007	12349.7886	11792.6766	8545.6988	10344.659	16238.9379	6981.8894	12190.4133	12162.0184	8243.4829	14179.9987	7774.7206	22810.0651	8039.4756	14371.8337	13116.1876	20430.9384	10418.993	16480.6345	6515.876	12250.5134	11360.2076	11772.6983	7343.6678	3699.9418
PWY-7385	1,3-propanediol biosynthesis (engineered)	17.4799	0.0	0.0	47.9845	0.0	51.891000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.1734	0.0	20.7083	0.0	0.0	0.0	0.0	87.9211	0.0	0.0	20.6253	40.6605	0.0	48.2671	31.1372	0.0	0.0	38.1788	0.0	0.0	0.0	0.0	0.0	0.0	13.9234	0.0	71.593	0.0	0.0	0.0	0.0	0.0
PWY-7391	isoprene biosynthesis II (engineered)	31.7004	104.2702	762.9372	880.3430000000001	0.0	544.5892	155.1225	708.0126	75.9572	47.6136	0.0	61.6777	0.0	99.0179	27.974	323.2586	3.9994	32.8466	152.3314	138.431	88.2459	63.7882	98.7886	0.0	328.847	0.0	76.4594	142.0569	274.8023	64.3281	160.2078	358.1148	243.2635	355.4353	326.675	118.7715	23.6473	86.2233	21.1446	90.0071	39.4317	151.9099	194.5414	38.0797	0.0	137.285	87.1303	24.8418	57.5287
PWY-7392	taxadiene biosynthesis (engineered)	16397.2059	14168.0623	28402.0579	25496.5529	19579.6755	13955.5127	29661.2481	19893.4121	18073.0795	24873.4758	7342.0365	16693.3342	16154.1182	18934.8922	33088.2642	30521.2744	31108.49	13875.5802	25506.2305	21782.9367	27358.3777	34104.9393	30998.1553	13099.2628	25363.5119	25285.8034	19773.6185	28785.1881	31031.3656	18670.0247	10965.2413	25780.8075	24198.6367	24632.037	24155.8797	22688.2077	14642.4046	11162.7811	16888.6008	17178.5011	16770.8359	26917.7966	24044.7462	7117.83	15470.4637	27999.1541	12698.8632	18158.8728	11491.295
PWY-7398	coumarins biosynthesis (engineered)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.6182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	18024.145	18835.8731	33613.8667	36618.9507	20085.9966	33558.6653	23626.3158	30232.3986	23785.7408	32903.1559	26461.9627	28661.3263	21841.0046	23420.6234	40161.4116	27481.363999999998	30605.6114	27818.2868	26483.289	24779.7292	26320.5894	41264.4504	30328.3146	35710.0718	35008.6073	24807.7895	21172.3737	21361.2273	34502.0299	21226.3623	29641.257	29372.0146	24765.4862	26447.2639	25654.2579	29582.561	32991.0892	30846.4793	30174.951	18989.0007	20053.6752	22932.8493	30249.0942	22855.215	24234.2886	32405.9801	33945.7558	27569.0947	12752.9112
PWY-7431	aromatic biogenic amine degradation (bacteria)	498.0583	550.2209	1347.6755	1392.7693	505.6444	5598.3147	1129.1459	4475.1349	2265.1201	1538.1727	601.3954	1055.7825	597.5521	802.3941	668.9543	1331.392	205.1025	907.4924	1156.4564	828.5074	1025.7742	330.7042	1594.0365	496.1223	4558.093	660.9808	916.3652	944.0505	1945.0333	1158.0395	942.7029	1420.5179	1139.231	1318.7051	1183.9777	1892.4715	319.2075	876.1452	313.4273	674.4886	489.2776	695.9244	1091.8825	1354.7882	1324.3138	1347.1333	890.0002	556.7167	631.5061
PWY-7446	sulfoglycolysis	370.9385	681.9504	1287.7455	639.2046	1169.6146	517.3869	1467.3339999999998	753.4649	870.5183	413.2349	145.589	1254.0883	693.4504	1593.1643	523.7809	456.35400000000004	182.8575	575.8046	888.7409	1976.8889	938.8910000000001	349.5625	777.4238	276.1479	820.6014	730.1333	820.3928	2067.4916	591.655	808.0747	448.76800000000003	1192.5078	687.1659	1027.657	4343.8336	867.0282	277.062	588.2282	266.6317	524.5195	2002.4062	1602.9219	574.1568	400.3869	76.2324	568.2657	285.205	3453.4895	192.9965
PWY-7456	mannan degradation	10703.0534	10747.0793	10925.2153	11914.5724	21058.1759	16284.628999999999	17466.9008	10664.9957	6288.3233	24156.1055	18605.6735	23253.2175	19566.0058	19295.6419	4364.0295	10586.4769	5617.6483	30720.3543	8783.2975	18112.4982	6246.0354	4016.3408	13396.1886	23767.8187	10648.0176	17550.9779	10443.1174	7480.6749	8332.9999	13366.9085	27435.0494	11035.0047	10290.4081	14755.7127	9389.5707	30035.9505	21133.7544	14038.6896	24122.4594	5704.5664	9930.44	14935.9146	19556.7945	25740.2206	21749.5814	27668.3475	24837.8826	19164.9727	4650.4759
PWY-7527	L-methionine salvage cycle III	33.9212	126.2742	261.3211	411.2101	97.9359	264.8168	197.2568	450.6828	373.0485	446.3131	88.1018	252.8912	178.7609	207.2058	180.3272	438.639	104.1822	154.2184	496.3253	235.2709	402.7096	112.6125	585.8464	269.4877	2597.0326	288.4855	359.8051	428.6944	990.0208	242.6922	189.8019	240.3307	322.4082	325.9848	222.5167	325.1808	38.409	207.5314	0.0	205.6447	184.6369	246.7184	419.8891	596.4123	515.7406	565.6684	253.4795	229.24099999999999	128.3517
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	26778.2863	32875.1283	40143.2273	34733.2152	39491.4326	44504.8887	42973.4354	40690.0115	31666.8088	44721.3508	40631.8924	39937.3387	58845.9978	37813.0763	46439.6871	46562.78400000001	44568.4022	49081.968	32516.9831	37840.5151	37928.5458	51183.9829	48835.8042	40546.65	35116.3095	37395.4515	27246.5747	31931.0519	37712.7152	34710.696	42871.5743	35874.511	36810.8076	48894.3278	36639.6755	49391.5032	40206.4171	36675.5605	48361.7625	36099.6069	33669.8135	31458.7386	40533.5677	37691.5911	44054.7067	50171.2784	42207.5893	36796.7385	18636.3826
PWY-7560	methylerythritol phosphate pathway II	30421.3867	35316.6647	36674.6579	42391.795999999995	39460.9729	41654.7698	46160.8036	38870.3271	32571.2212	42296.5424	46042.2073	41689.7563	58360.209	39273.406	31922.1753	49762.638	31022.0357	51316.5369	35232.708	40520.9853	43020.1899	44642.1311	47878.0859	52611.7299	42440.7618	39838.1549	29861.0266	36282.9525	39186.156	37212.0158	43119.7904	36601.9042	39553.1353	46743.6902	35097.4556	46676.0068	52818.8698	37833.5817	52289.9191	39493.7968	35669.8505	31008.796000000002	43635.58	37033.7053	44778.9947	48842.0654	49856.0923	42705.6489	23000.4905
PWY-7616	methanol oxidation to carbon dioxide	172.4298	196.6016	292.7181	835.3256	103.5964	261.3184	233.3882	503.2064	346.1211	1526.8858	92.5562	148.9459	106.8007	175.877	137.6617	992.4652	90.1752	206.5421	585.6227	427.5614	426.1836	118.6578	2024.9862	235.8483	1491.5795	261.9227	647.9943	451.7561	2468.7898	168.5519	128.2753	282.7434	589.4807	289.7385	195.1661	992.1502	96.4145	135.9166	60.1366	156.3165	124.4904	190.0723	982.5179	379.2518	51.0396	1520.6347	299.1551	104.4894	99.3484
PWY-7644	heparin degradation	0.0	0.0	0.0	0.0	0.0	26.6986	0.0	4.7118	0.0	0.0	0.0	0.0	6.7427	0.0	0.0	6.3906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.9234	0.0	3.8409	0.0	9.702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3948	0.0	0.0	0.0	0.0	10.0748	0.0
PWY-7663	gondoate biosynthesis (anaerobic)	40257.5939	43903.8845	63900.0402	58687.2097	54203.4819	67430.5106	65349.7631	61137.5409	43470.1424	58844.2635	58079.4737	59469.9006	73898.9302	52806.7443	55759.1601	62450.3063	56226.7691	76323.9518	51139.5599	57622.3607	51553.2112	60987.2974	61600.1168	68149.0306	59572.2322	57399.8893	41204.4746	55441.9804	51494.6169	50000.1549	62294.2466	57493.2107	53313.6755	68909.2061	51357.9844	72570.5029	65226.335	49342.404	67914.4485	46116.5026	44413.8673	56443.9864	61309.303	56563.65	59742.9539	71038.8511	68139.0479	59020.875	25260.5569
PWY-7664	oleate biosynthesis IV (anaerobic)	22068.1871	21580.4148	47364.3705	36251.1109	31186.8489	60577.8537	43405.0086	51047.6432	23902.9321	43243.527	25834.1771	43659.4405	21946.1437	34596.3995	17344.424	25663.215	27926.3941	63158.5135	34407.1894	36284.0535	31668.4297	14000.5702	38800.2546	38549.9169	33279.2167	34200.3914	24151.7173	38210.6099	33045.1005	26823.8381	46327.1857	38430.2941	28152.3086	39909.2983	40661.435	59210.2967	33936.0842	23758.7428	36446.2156	32538.4925	23473.9693	39806.3343	39101.1685	47277.8003	34074.0457	57280.6072	49281.5269	36051.2552	10737.0936
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	26923.0482	29102.7184	44769.4142	39185.977999999996	40755.6048	44324.014	48197.1369	41805.4459	32910.5309	44693.3017	42080.0026	39360.7526	61332.6142	35422.5046	37544.3519	38630.9709	25360.5413	49019.8179	38214.0861	42814.0074	41891.6694	45709.6634	49296.2252	45414.8022	43520.0142	42077.72900000001	28495.181	40264.8689	43500.2617	34361.1359	41688.0565	40817.4892	35740.8151	51980.7819	36924.9766	50392.2327	43395.8797	40463.6688	46378.2939	28785.1895	27838.0702	40636.5599	42540.1464	37258.9137	42362.0151	51626.5019	44074.2762	42674.8857	21545.2323
PWY-922	mevalonate pathway I	2417.4711	2163.306	10498.7345	6244.5766	1925.1906	1771.3088	4956.0569	3620.4382	3076.6112	4181.0994	713.8123	1684.7765	749.1051	1459.4343	22552.7541	7688.3481	18450.4573	1649.8114	7241.3537	3320.9372	5261.7317	14278.768999999998	5756.1611	1477.7392	4184.2797	3350.8434	4934.1849	7569.451999999999	8380.52	3030.1413	1376.7083	7645.375	5922.0787	4597.7082	4310.7272	4043.2845	1141.0986	1246.1618	1832.0213	2987.2135	1965.4025	12090.2245	5117.4834	552.837	1551.7125	5017.3848	1590.2016	923.2492	2107.3635
PWY0-1061	superpathway of L-alanine biosynthesis	9617.7073	13890.4918	40939.8985	32345.1604	12222.6373	31819.9753	22763.8707	30975.4021	24687.8445	23874.1992	6939.056	17718.1722	16592.6532	14748.0367	13454.0678	24998.9816	4948.1311	15971.07	27030.9223	24522.0459	28250.1687	10503.4121	32344.7755	15922.191	23539.0047	21271.9494	15971.6582	28625.9641	34399.5834	12627.6964	12675.6703	29805.4068	23118.5409	30539.5418	33497.4742	20017.6768	8934.1433	31952.3108	17949.9541	15349.5044	16294.7908	29586.2638	21945.8069	11282.1863	14167.9029	29066.744	15462.6232	23838.0062	9384.9236
PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	3517.9804	5265.5768	13641.2386	8730.9707	5901.9572	16891.1223	8683.4563	14274.6302	6047.0539	3463.8491	1938.9084	5564.4048	3827.0749	5215.0223	8147.6088	6320.0151	4159.6174	5078.5428	10907.3568	8214.9479	9375.7685	23051.2326	6538.0984	4512.3906	7246.9001	7964.7531	4738.098	9406.2754	4816.1094	5674.5632	3864.1333	11504.9423	6657.4472	9300.0213	14175.4509	5515.2887	5710.9997	3759.0473	4527.9116	4729.1708	7254.6325	7485.9191	6558.2842	3194.1816	4679.7638	5190.6385	4600.2647	7941.5066	2034.5275
PWY0-1261	anhydromuropeptides recycling	19610.6402	21098.8971	43821.505999999994	37301.3455	22240.7306	38503.0584	34022.7845	35700.2651	32519.504	37027.411	17546.7871	29006.1324	24303.4193	26991.4914	21451.7033	30404.2505	14884.614	29825.0653	33743.217000000004	29460.1651	29822.9049	20095.2399	38571.7825	29143.1823	36721.1141	31231.14	23315.6495	33456.65	38251.96	24967.1848	25313.2342	37399.6543	28886.9463	34469.4578	37760.8096	33166.1032	35413.5041	44502.3532	21982.3964	19992.02	24799.6227	31452.0451	34650.379	20712.2778	23342.1416	42248.0361	27776.4573	29320.7428	11058.1932
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	870.6925	1475.7658	1689.6603	1395.4605	1876.7647	1180.0131	2583.1847	1644.7032	2608.4734	1013.0479	391.6726	2030.5063	1207.619	2408.0305	869.8399	1282.6498	400.9346	949.6395	1540.9043	2839.0539	1499.3339999999998	691.3539999999999	1489.4801	746.0867	4027.1647	1467.4889	1655.5383	3214.6508	1656.9552	1900.296	865.3510000000001	2029.7413	1296.665	1682.5488	5931.464	2062.9746	613.7989	1466.69	613.0957	1079.1486	2989.3673	2458.2065	1499.0482	1124.5088	338.3582	1337.1161	1128.5157	4737.5749	835.3723
PWY0-1296	purine ribonucleosides degradation	23842.8338	18247.7305	38250.3637	33055.0837	19500.2232	29327.786	30257.3521	30058.8632	20668.8011	15719.1009	21285.8461	24865.0806	24856.9388	25957.4784	40973.3875	28587.107999999997	40269.6137	20448.034	29274.5348	23191.9275	33866.4549	42144.9541	19487.8217	31545.6279	25157.7147	26004.4682	20326.7434	29553.606	25697.1542	24044.1919	16265.6717	32399.2818	27264.4426	29351.7971	31832.3934	17818.3169	33856.2907	15179.8078	29368.7239	26088.9747	28774.6239	29439.2662	25071.7473	12626.2049	21095.1454	20984.826	28111.3036	24329.1294	14758.7765
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	18877.8808	15706.4622	35789.4763	30302.8548	16579.1903	24980.9239	28879.5928	25576.7112	23266.9539	22794.6204	21948.0089	21808.9995	18856.5471	22488.5858	37279.6649	26321.7647	33446.9075	19247.7383	26858.3521	21798.7706	28230.0916	30747.7707	24680.9523	29364.3987	24437.4089	23954.8619	19355.6144	28834.1908	29668.8542	20718.0896	16990.5737	29895.5606	24589.7234	26275.6612	28648.5856	17534.2993	30363.6812	24962.0312	27822.0896	21831.3518	20086.8445	27583.8337	23621.0231	11938.966	19321.9531	24205.1795	26378.0097	23332.8752	13445.0826
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	18952.584	15628.7747	33103.8825	28367.7723	16497.9031	18402.0463	28051.9148	20931.1772	18835.0598	21906.9533	25317.3102	21671.4972	19152.8726	22323.9381	37055.0632	25492.6051	33120.149	19189.5724	25423.7996	21317.256	26609.4497	39323.2764	20427.3552	28828.896	24235.1906	22933.5257	18753.2943	27945.4137	23691.5408	20543.7442	19392.8472	28534.2226	23728.9566	25770.1616	26826.2371	17659.445	30506.4212	15211.3463	27552.1614	21404.5318	19306.8224	26205.6664	23150.1352	11989.7536	19010.4505	21046.1366	25970.4382	23121.7596	13023.3468
PWY0-1319	CDP-diacylglycerol biosynthesis II	34268.4679	39813.2641	51794.6513	54091.5282	39716.3573	49788.308	52462.9107	48088.2429	39436.8613	44473.7458	44823.8429	44774.0047	58518.1985	43420.8965	55192.9387	55703.9298	50673.5775	50008.7364	47266.2951	45430.7927	53894.1036	53293.9776	56352.119000000006	57973.2879	55309.9678	46765.1378	38171.4387	48826.8258	51853.3794	42076.4056	41542.1183	48393.7956	47071.9657	52405.0683	45382.7459	47897.5266	59298.8287	42827.3422	52675.718	42137.3255	42377.0346	45775.7055	50906.5895	35524.873	44527.5414	52154.8051	51710.0007	46792.5064	25950.4631
PWY0-1338	polymyxin resistance	823.8053	1018.3262	3274.4977	1541.405	2345.2324	548.1475	1683.8828	1086.0183	1195.6499	378.3924	221.535	1369.8221	1350.0247	1752.0256	729.3099	692.6166	332.9509	529.9246	1433.247	2266.065	1240.5652	497.5516	780.88	370.1358	1207.2226	5234.7773	1160.319	2622.1404	811.2884	1632.0551	630.9005	2363.8803	1210.2171	2758.4817	5639.2771	1084.9866	436.6715	964.6713	926.1873	766.3907	2630.9487	3323.2741	1057.8411	970.2536	1249.9429	587.1923	413.3278	3386.7048	431.1632
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	3143.2659	3872.4434	16561.4734	9971.5017	4480.0999	6149.1465	6570.6028	7292.2355	6634.9883	9698.8141	1662.1015	5529.3758	4796.1177	4699.9448	4691.331	7942.9213	1947.8944	5026.0469	8525.247	7753.7209	9211.2429	2799.202	12637.7335	2857.1646	11393.9149	9216.7824	5047.5439	8803.2922	15509.8783	4595.8152	3979.1334	10942.097	7316.4986	11578.9823	14404.7479	7275.835	2113.2355	5757.931	3052.6761	5070.0312	5154.9199	7829.1441	7083.2148	4095.0627	3511.778	10605.4501	2882.6787	7229.9956	2650.8673
PWY0-1479	tRNA processing	5429.9125	7640.6821	21571.2242	16430.5979	8055.6455	15444.3023	13258.5188	16723.5121	17961.5008	14065.4673	3784.0273	9588.0809	11484.5941	8345.684000000001	10323.5345	11172.4129	3566.645	9908.0569	15951.3178	12500.3294	11855.3328	6974.2529	20108.7387	8570.9229	19478.6217	13348.6874	9340.2187	15771.7811	20816.0557	8284.7797	7311.0036	16266.983999999999	11815.5314	16897.2396	18800.6986	12239.4407	6806.6583	25375.9285	4864.8878	6968.9985	8772.9359	11655.3722	12159.6977	6058.2005	5672.8435	17474.6742	8208.2218	12603.5514	3698.0145
