Pathway	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S4	S5	S6	S7	S8	S9
PWY-621: sucrose degradation III (sucrose invertase)	1795.09	1346.25	2626.82	1900.3	1822.71	1313.76	3401.71	1275.68	2727.62	2503.93	3276.09	3041.88	1396.32	1204.93	536.303	1338.45	2085.93	1222.41	1762.53	2219.15	1569.57	1581.56	3799.65	1300.66	1466.67	2387.2	625.502	1752.16	3364.75	4057.71	2869.99	2843.95	1958.41	2692.21	2662.91	5235.87
PWY-622: starch biosynthesis	0	318.87	0	32.6559	0	0	38.4286	446.052	0	0	0	0	0	0	57.3371	0	0	0	675.479	0	0	777.348	93.8554	440.067	0	91.6736	120.583	0	0	0	148.118	471.667	185.697	134.398	271.353	0
PWY-6263: superpathway of menaquinol-8 biosynthesis II	0	88.4488	276.6	0	496.05	269.204	0	145.113	10.426	119.714	54.9396	0	0	38.2699	226.212	0	327.797	331.395	391.387	13.0478	196.233	281.181	648.582	0	170.464	27.521	271.8	69.047	75.3907	0	266.83	0	77.8682	786.347	1060.97	91.5066
PWY-6270: isoprene biosynthesis I	0	625.949	24.9255	111.373	20.3778	42.0079	3.0455	701.986	30.9704	0	32.6017	0	0	0	0	15.1606	0	0	1371.06	0	46.3025	1535.18	80.33	503.892	0	137.403	0	0	38.4612	0	144.815	1568.64	148.271	147.301	445.15	33.1813
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	9536.48	11738.2	10768.6	10568.7	11276.3	13521	10997.2	9140.42	5311.65	7736.68	9798.67	9016.95	8687.8	11886.4	18184.9	8491.89	8189.02	9523.82	9819.39	8805.24	9510.74	9151.3	10716.9	6338.37	8713.76	10336.7	17299.7	8699.08	9104.18	8729.89	8798.36	8040.78	9606.8	7959.5	10180.8	4916.55
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	2875.3	1400.61	2811.09	2070.96	3215.99	1249.47	1340.78	2316.11	5459.17	5441.39	2976.68	4017.8	1087.86	3199.2	434.234	4480.23	3916.34	2946.4	3000.35	3778.77	3913.87	2831.53	3209.82	5301.99	4499	2366.13	583.613	4106.7	2738.84	2739.26	2193.6	369.514	1148.5	3929.8	1265.24	4235.74
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	452.348	596.21	127.012	14.3791	0	161.859	22.6955	370.949	2567.21	1428.13	144.619	595.991	177.318	1069.6	204.8	1342.9	433.085	299.588	839.489	654.271	666.564	874.559	121.05	2323.13	1098.44	1136.46	247.751	1411.93	364.624	475.254	1620.88	136.016	54.1483	938.115	51.0572	781.384
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	818.31	0	248.271	0	0	202.842	0	430.263	3536.11	2207.59	283.394	1080	324.066	1703.48	319.686	2150.32	796.24	520.834	959.051	1160.32	1111.65	947.513	236.104	3313.85	1818.98	1239.5	394.66	2198.55	672.509	668.356	1236.21	224.973	105.382	1579.72	100.071	1341.21
PWY-6305: putrescine biosynthesis IV	1301.87	2288.28	2690.55	3641.64	2661.15	1603.33	345.669	2637.39	5395.96	3295.66	1973.96	2442.45	1205.7	2577.24	1715.41	2992.05	3656.69	2144.22	3486.83	3718.56	2975.81	3562.83	1864.43	3102.52	3561.76	2931.53	2161.17	3651.25	2206.21	1714.07	3313.01	2441.57	2599.82	3235.35	3165.82	3797.8
PWY-6317: galactose degradation I (Leloir pathway)	2286.15	3012.45	3157.85	3861.51	2871.7	2432.62	2043.99	2552.22	3228.04	3248.13	1623.5	1049.69	1504.77	2591.68	2789.94	2141.72	2871.76	1779.19	3882.13	4239.19	2754.07	3797.36	2184.52	3401.61	2713.55	4181.76	3341.75	3510.91	2415.33	4769.52	3835.42	4478.15	5289.71	4721.33	5387.3	3663.79
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)"	24.8901	89.6583	31.7982	0	0	27.0371	129.934	100.397	625.927	108.189	40.2828	229.738	106.465	189.798	0	0	336.316	258.105	123.137	237.731	16.5179	172.343	20.4259	101.913	77.071	148.208	0	209.353	28.0629	130.306	158.237	176.769	147.084	244.346	0	1268.79
PWY-6353: purine nucleotides degradation II (aerobic)	2267.81	1605.78	1344.5	1143.57	650.691	1416.72	1062.15	951.167	4340.19	2923.71	1734.64	2136.74	1254.67	2728.21	440.738	2489.72	837.621	1802.71	1054.73	2927.72	2458.29	1353.15	775.668	3973.08	2943.44	2397.15	893.778	3220.94	2411.03	2815.46	1882.73	2929.13	2963.7	1817.01	1543.1	1294.45
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	9992.39	13036.6	10930.6	12001.7	11790.4	15421.1	11369	10165.8	5064.9	7496.97	9737.72	8943.3	10078.9	12199.9	19139.4	9126	9431.34	10689.5	11325.7	8825.28	10315	11565.1	10591.7	6542.01	9581.46	10143	17977.2	9211.56	9339.93	8870.19	10164.1	9189.16	10544.3	8791.34	12089.3	6781.79
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	9751.31	13048.6	10747.9	11813.6	11822.4	15645.7	10803.5	10294.3	4713.94	7199.25	9465.29	8525.82	9457.99	11690.8	18816.3	8325.07	9602.42	10469.1	11495.4	8878.24	10212.7	11797.9	10399.3	6141.73	9381.93	10155.1	17737.7	9053.37	9072.28	8910.41	10583.4	9028.28	10535.4	9003.22	12390.5	6501.06
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	9689.74	12872.3	10738.9	11732.6	11726	15649	10938.7	10227.2	4871.57	7294.75	9440.76	8650.84	9658.6	12217.2	19697.8	8796.72	9559.58	10658.1	11424.2	8784.38	10078.2	11648.4	10396	6237.27	9424.15	10089.6	18154.6	9135.59	9011.39	8878.77	10430.4	8956.06	10447	8866.42	12239.3	6540.51
PWY-6435: 4-hydroxybenzoate biosynthesis V	0	76.5545	0	33.1361	0	0	0	18.5802	4.52837	0	0	0	0	0	0	0	0	0	25.4811	0	0	64.2564	0	102.653	0	14.592	0	0	0	0	21.4133	301.644	28.1449	59.7932	70.8547	8.91353
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	380.924	1453.45	784.178	766.724	599.046	994.31	869.075	449.798	338.736	353.466	753.765	634.299	123.819	0	65.9125	0	1371.3	789.525	1187.43	927.003	781.152	1470.73	934.594	17.6061	627.627	983.321	537.266	338.551	949.466	1828.13	939.85	2688.38	548.282	993.936	687.91	486.868
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	399.285	1502.33	792.976	882.847	605.598	1288.95	877.935	689.462	357.245	414.269	791.857	636.514	767.515	0	75.5681	0	1511.89	811.359	1757.21	944.894	840.525	2007.96	939.792	2823.21	689.917	1010.94	762.729	424.273	1035.21	1846.35	1056.99	2890.67	588.905	1093.49	3504.63	579.092
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	70.6248	0	122.986	82.9767	40.7594	180.781	579.365	214.634	5.28556	14.4705	1421.44	85.9553	2200.12	26.961	37.4998	51.1779	79.5042	118.054	74.8636	85.5729	63.4604	62.4551	41.9999	15.2795	0	264.245	40.0027	33.2936	1450.37	499.203	115.61	106.46	56.1167	17.1633	0	38.8708
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	777.821	1163.56	867.129	1452.36	769.082	590.293	283.861	923.77	1944.12	756.556	696.176	1103.15	691.029	966.018	301.585	986.478	1294.82	1457.22	1196.88	2783.56	1194.23	1218.04	915.699	2271.51	1203.61	1709.01	442.216	1275.39	849.175	1213.12	1280.76	1866.37	2970.89	1042.33	2592.32	877.481
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	3198.59	1656.63	3676.71	2344.03	3592.85	1401.33	1589.06	2608.54	4763.57	5478.23	3377.7	4407.92	1294.95	3005.28	494.003	4435.98	3889.43	3354.26	3202.01	3950.98	4229.59	3006.38	3641.22	4796.16	3597.77	2718.08	622.711	3655.91	3101.09	3071.63	2438.99	444.381	1326.77	3969.76	1454.72	4031.98
PWY-6527: stachyose degradation	2224.92	2467.16	2702.09	2421.55	2391.46	1795.69	666.529	1962.72	3295.37	3174	778.558	1076.75	971.665	2652.37	2701.55	2246.1	2481.63	1088.37	2949.25	3709.61	1532.86	3305.57	1766.87	3780.6	2701.42	3048.53	3362.48	3615.5	1165.25	4148.49	3213.92	3444.7	4716.18	4381.61	5077.19	3960.47
PWY-6531: mannitol cycle	569.118	147.063	640.384	725.581	43.2743	584.777	200.184	340.883	2254.86	1317.87	634.723	509.188	278.795	897.453	63.0726	1049.69	342.619	281.752	314.898	713.051	651.945	242.469	577.647	1408.23	574.913	417.489	57.9749	1298.84	638.626	919.222	570.088	347.901	227.187	820.264	168.979	1779.23
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	3619.31	2574.47	2783.34	2817.72	2804.56	3433.32	678.691	2074.2	2312.7	1638.85	642.87	1572.24	2559.43	1701.94	3656.94	2000.61	3366.19	2642.66	2936.97	4011.63	2724.8	2935.05	1676.8	1021.81	3939.78	2817.64	3695.51	2211.02	1211.79	2216.32	5594.29	4029.28	3562.24	3697.99	2127.11	3763.2
PWY-6549: L-glutamine biosynthesis III	342.409	307.659	124.369	285.76	245.568	400.105	235.64	531.607	239.261	746.349	281.229	523.924	184.161	1732.51	357.329	1786.26	948.498	564.384	724.177	494.202	521.055	869.761	323.217	471.13	2203.84	291.534	400.289	2110.21	376.633	294.935	375.761	665.104	660.024	1231.62	646.439	1134.66
PWY-6562: norspermidine biosynthesis	0	0	24.2939	0	0	0	0	0	74.2913	57.836	0	77.3989	7.49502	213.192	22.8845	0	229.391	0	136.343	11.8137	0	118.759	10.6741	108.321	75.3207	34.9415	37.493	248.586	0	0	45.0928	0	99.8882	161.925	30.4724	184.619
PWY-6572: chondroitin sulfate degradation I (bacterial)	577.464	126.665	318.55	249.939	121.818	342.944	0	10.6091	12.2211	30.0955	2033.24	183.976	502.111	24.8748	42.294	169.845	447.507	291.709	190.478	182.545	153.82	158.36	266.983	46.0018	134.556	450.761	39.9358	45.0886	2145.59	114.256	153.582	94.0056	47.2667	104.593	124.191	13.093
PWY-6588: pyruvate fermentation to acetone	384.189	69.86	482.182	45.1734	264.033	53.1291	156.439	257.667	881.655	406.87	135.057	192.902	120.935	206.989	500.373	534.653	142.625	238.062	445.586	628.48	381.355	354.723	141.236	812.619	257.268	194.168	628.803	402.713	259.793	472.367	168.601	171.268	161.541	211.639	118.148	501.744
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	136.47	611.643	577.205	936.428	339.229	440.393	471.87	271.136	16.0861	25.219	215.669	391.282	298.775	199.327	126.121	59.4553	722.244	344.631	703.521	493.565	500.37	654.524	98.902	561.538	366.166	735.299	320.943	430.711	187.498	648.312	371.598	1144.09	542.766	535.894	858.65	152.19
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	84.8853	234.713	105.926	585.652	299.085	193.047	20.1722	427.444	60.5506	334.77	368.832	44.3911	292.027	168.925	152.835	0	306.009	440.954	455.472	160.684	307.369	426.14	24.0161	19.9984	164.846	191.184	99.8215	194.611	269.031	73.4511	69.7762	130.79	403.95	23.156	1003.22	154.104
PWY-6606: guanosine nucleotides degradation II	1228.17	845.613	744.013	639.162	342.131	766.186	573.229	470.288	3303.17	1466.99	938.923	1049.64	705.039	1510.89	237.097	1211.1	444.634	978.675	558.112	1458.67	1221	712.281	420.627	2333.45	1673.81	1364.74	465.149	1847	1318.95	1662.92	1014.52	1744.97	1632.92	1048.62	1027.37	623.5
PWY-6608: guanosine nucleotides degradation III	1817.69	1430.72	2443.34	1176.8	902.077	2049.1	1596.58	935.124	5155.11	4991.68	1670.85	2329.52	3041.57	2300.98	1290.67	4021.61	997.914	1693.33	1155.65	4059.06	2805.33	1166.48	1679.27	5306.62	2513.64	3042.57	974.663	3090.54	1915.13	3718.06	1549.86	3268.67	2615.05	2662.9	1385.83	3553.83
PWY-6609: adenine and adenosine salvage III	9227.09	12966.5	10348.3	11791.5	11904.9	15112.5	10632.8	10091.3	3889.72	6881.19	9564.14	9108.18	9017.19	8409.87	12735.9	6851.26	9203.06	10266.4	11060	9040.37	9531.06	10917.1	10963.7	6118.18	8157.34	10054.8	13087.7	7570.08	8945.55	9892.26	10020.6	9166.11	9706.74	8554.28	11782.2	5872.3
PWY-6612: superpathway of tetrahydrofolate biosynthesis	124.29	377.009	191.557	0	51.9273	121.577	21.6032	164.561	978.336	564.611	168.106	592.546	393.315	478.97	588.19	354.883	206.668	360.133	455.842	264.265	286.406	471.411	606.703	1832.45	436.146	966.799	341.011	787.643	233.918	304.157	945.027	119.698	79.4937	475.253	214.406	354.886
PWY-6628: superpathway of L-phenylalanine biosynthesis	1080.32	39.2023	0	0	89.9479	423.935	219.193	1389.84	3237.22	2153.46	512.394	1374.72	345.363	1742.56	370.856	2579.63	2004.68	762.021	639.91	2138.64	1645.39	694.055	166.372	3030.32	1564.89	164.432	577.121	2394.76	1217.75	927.471	532.289	568.571	453.872	899.81	68.3897	3913.2
PWY-6629: superpathway of L-tryptophan biosynthesis	1125.76	47.2438	0	0	109.018	525.495	270.074	743.695	3455	3412.26	683.395	1722.7	333.715	3609.78	0	3950.8	1760.43	1028.57	787.555	2495.96	2195.49	857.646	73.5112	3527.2	1901.22	201.541	0	3521.6	808.437	1244.71	265.48	704.261	558.6	985.859	40.0797	4517.46
PWY-6630: superpathway of L-tyrosine biosynthesis	548.87	38.2043	0	0	88.7388	389.088	215.728	523.51	1376.14	1097.78	341.466	916.18	223.695	1342.81	0	499.111	1209.53	568.651	591.733	1224.37	861.364	624.41	58.3088	1823.29	1207.96	159.974	0	1947.19	414.07	600.46	194.693	549.772	447.076	692.2	33.3746	2689.82
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	237.501	0	8.11894	0	0	52.7717	19.773	134.484	1549.37	747.7	65.4543	408.986	62.6553	450.901	0	739.436	238.157	101.025	136.059	463.07	256.473	86.6131	8.50481	1228.8	668.215	23.6183	0	618.159	166.954	187.977	108.435	20.1114	35.1789	139.605	12.2639	1117.76
PWY-6700: queuosine biosynthesis	9288.49	12350.5	10366.1	11013.7	11098	13451.8	10663.7	9700.92	4078.62	6637.62	9158.32	8975.06	9477.99	11414.9	19680.4	8108	8725.64	11666.8	10092.9	8613.37	9092.79	10795.4	10584.5	5757.66	7772.34	9428.04	17610.2	7553.86	8578.5	8084.33	10162.9	8330.57	8939.53	7979.83	10498.2	5980.66
PWY-6703: preQ0 biosynthesis	7567.3	10302	8141.1	8470.12	9090.96	5892.04	9373.84	7691.34	3072.69	5244.49	8403.9	8025.69	8430.29	9363.74	11696.8	7419.08	5344.52	9455.66	8066.51	5279.81	7466.52	8105.26	11764.3	4086.45	4641.98	8237.45	10807.6	5802.03	7516.15	5688.46	6361.68	5481.43	6097.16	4167.18	5919.1	3854.38
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)	18.4238	0	0	0	0	3.13236	4.54467	8.42333	742.073	144.463	5.68443	147.601	133.515	194.696	20.8683	74.5828	496.751	12.7931	40.3454	113.453	61.2461	39.6795	22.4127	302.86	1179.43	14.8561	0	231.774	41.0047	94.7486	81.2233	25.1051	214.785	256.45	70.6346	552.674
PWY-6731: starch degradation III	179.351	211.209	129.769	16.161	7.68275	353.396	67.7207	312.243	1937.24	980.79	90.92	440.537	296.098	720.644	23.8447	1394.55	1054.77	172.321	540.303	649.275	415.121	565.349	329.827	1281.33	1067.34	196.305	54.2847	876.138	247.724	237.755	289.613	255.042	1210.9	802.9	211.292	837.571
PWY-6737: starch degradation V	8405.33	8840.64	9946.78	11281.9	11001.8	6882.02	9446.84	7520.84	4347.9	6212.56	7308.04	2117.22	4988.63	4901.15	5591.32	5502.78	8144.45	10734.9	11155	10555.3	9894.07	12582.6	8935.03	5371.75	6963.27	9041.95	6684.11	6534.74	8695.98	8942.82	13936.1	9814.97	12484.8	11971.5	13701.6	6454.81
PWY-6749: CMP-legionaminate biosynthesis I	25.538	35.3262	338.919	12.5659	201.123	0	0	0	27.498	0	1674.3	0	0	26.5509	263.238	237.025	338.401	0	272.092	0	61.2576	186.508	152.985	29.2584	474.013	216.209	19.0825	25.5041	1758.34	1659.46	319.607	10.5199	192.885	46.1326	0	46.8162
PWY-6785: hydrogen production VIII	0	0	0	0	0	0	24.1951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6309	0	12.3168	0	9.74677	0	27.3924	101.448	0	21.2604	9.02822
PWY-6803: phosphatidylcholine acyl editing	543.689	0	9.86445	0	0	83.5282	131.613	408.453	2651.01	1169.26	205.573	526.001	229.415	909.152	0	1548.14	770.049	229.198	341.082	757.259	704.611	299.19	49.2063	2115.33	1552.05	55.9383	0	996.115	375.46	300.957	248.793	48.0995	305.334	784.539	294.768	2031.71
PWY-6823: molybdenum cofactor biosynthesis	222.548	0	33.3998	0	0	69.6921	13.9604	61.9494	1073.68	407.504	83.6135	98.8265	132.531	288.261	0	218.285	127.265	22.2638	26.268	177.334	90.8861	0	37.7874	643.352	206.455	77.7557	13.1074	419.218	153.846	61.2865	37.9556	21.5545	65.9336	154.71	26.6166	320.323
"PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"	83.1073	0	0	0	0	22.5291	26.6803	31.3265	1001.2	229.644	42.3997	163.525	21.0205	99.7668	0	444.214	427.71	41.8759	51.7694	112.259	169.095	32.0034	18.5762	357.899	837.657	15.5429	0	137.276	77.5038	35.2801	57.3614	0	122.613	305.628	53.1132	692.426
PWY-6859: all-trans-farnesol biosynthesis	2238.58	1508.36	2295.48	757.733	988.426	354.066	2371.74	2317.77	1446.38	2169.07	3529.84	4189.18	75.9908	725.96	318.372	1884.78	1240.61	1594.01	964.986	1659.24	1000.19	919.218	1968.42	1098.92	351.949	2401.2	356.751	795.374	2553.2	3410.04	2481.35	63.7272	1183.16	2098.94	288.35	770.564
PWY-6876: isopropanol biosynthesis	0	12.0907	17.2231	0	0	0	79.5623	0	0	0	43.2395	108.382	120.935	21.9385	0	0	0	0	0	0	0	0	5.73404	0	0	0	18.5718	4.7869	66.0121	203.466	0	95.514	96.4559	42.4232	0	6.07617
PWY-6891: thiazole biosynthesis II (Bacillus)	1075.6	183.55	827.599	28.7149	221.997	788.335	121.089	475.783	4503.57	2895.13	172.745	577.886	398.841	1782.52	649.895	3437.36	1463.16	575.398	772.127	788.507	1423.31	479.277	80.3075	3627.97	1210.28	495.475	1027.53	2456.41	420.478	1119.82	321.803	695.823	183.361	949.655	260.034	2795.58
PWY-6892: thiazole biosynthesis I (E. coli)	4941.02	3896.32	7371.98	6455.55	3191.32	3916.9	8300.18	4178.3	4653.09	3810.32	7943.22	5573.5	8257.15	3641.8	951.164	3934.57	3916.28	2872.76	4148.79	2630.26	3147.29	3740.82	4020	4021.04	2145.04	5486.28	1594.6	4119.48	7514.43	7068.62	3671.24	7466.53	4832.96	4724.18	4887.45	3624.12
PWY-6895: superpathway of thiamin diphosphate biosynthesis II	3208.11	854.713	2935.46	141.833	987.929	2880.39	573.012	1803.71	3247.58	4459.4	779.978	2107.5	1587.29	4537.48	2686.3	4525.45	3547.25	1845.21	2788.61	2572	3673.69	1932.26	384.512	3976.04	3330.24	1934.82	3788.41	4752.88	1666.99	3315.83	1337.83	2377.19	826.393	2827.83	1148.8	3016.12
PWY-6897: thiamin salvage II	5359.45	6949.82	6731.13	6837.66	5133.97	10419.4	7778.22	5472.78	2951.14	4025.32	4732.21	4430.61	3840.07	5393.17	9091.84	5213.25	4274.78	4478.48	6221.58	5315.87	4768.36	6672.66	5066.21	3223.7	4483.16	5351.88	8919.82	5222.85	5078.58	5387.13	5974.42	5642.35	6020.21	5303.83	6246.89	3361.39
PWY-6901: superpathway of glucose and xylose degradation	2928.95	1553.59	2206.7	2062.57	2065.51	1782.43	3382.98	3335.19	2951.11	3584.52	3826.95	2262.53	4023.62	2349.92	1003.04	1445.25	3349.47	2473.91	3083.16	3165.16	2174.71	3238.07	2265.63	3254.89	2223.78	2603.27	1117.48	3015.43	3863.35	3964.57	3251.72	5083.61	3804.15	2382.19	2392.12	4412.92
PWY-6906: chitin derivatives degradation	0	0	0	0	0	0	0	9.25738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.8424	0	0	39.4684	0	0	0	0	0	0	0	8.48037	0	0
PWY-6936: seleno-amino acid biosynthesis	6101.88	5252.86	5832.11	2542.19	9057.21	2146.28	5338.23	8373.5	5525.67	6170.94	9227.3	9338.81	6001.39	7419.44	2636.39	5401.1	4490.94	8251.73	4714.63	5664.66	8563.79	4790.62	9866.63	4791.82	3273.68	8118.52	2744.82	5760.56	7898.57	8456.57	7580.36	6851.47	5079.22	6182.08	3590.34	5238.07
"PWY-6953: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis"	72.1063	0	0	11.3859	0	34.3009	0	1278.83	6.68082	21.1188	2515.54	0	13497.6	0	0	0	0	0	169.532	0	0	101.495	46.8356	0	15.0931	0	0	0	2080.14	0	96.9007	37.8446	0	0	33.3238	62.058
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	438.033	308.289	299.76	863.306	722.119	583.058	845.933	785.481	3136.35	1942.7	323.222	1206.56	159.91	1404.36	574.02	1669.57	1641.4	1070.95	1150.69	1333.92	892.485	1201.31	394.718	2154.82	1454.15	341.038	488.691	1768.66	593.769	250.383	207.998	377.471	957.316	1760.19	1484.96	2729.04
PWY-7003: glycerol degradation to butanol	206.129	175.926	277.381	0	104.004	120.9	55.4808	231.399	1702.48	446.215	259.814	347.149	236.969	537.492	761.54	0	377.034	70.7257	554.124	175.4	22.033	479.639	204.73	314.345	325.731	108.393	910.468	981.448	373.093	368.827	232.375	340.168	350.321	472.431	304.983	1211.5
"PWY-7013: L-1,2-propanediol degradation"	133.455	371.174	187.105	14.5167	76.9947	181.89	147.331	100.551	3490.45	499.451	216.625	772.457	358.354	1603.25	555.515	7.34013	1908.28	11.0505	860.121	96.7283	97.9094	675.285	147.913	523.351	508.877	149.331	567.214	2337.34	411.306	465.911	178.296	546.185	355.18	1120.68	405.268	4514.43
PWY-7031: protein N-glycosylation (bacterial)	0	0	0	0	19.9208	0	0	0	0	0	0	0	0	0	0	0	0	0	105.178	15.5858	0	76.9107	0	0	0	19.356	0	0	0	0	0	0	154.581	0	22.4714	0
"PWY-7039: phosphatidate metabolism, as a signaling molecule"	0	0	0	0	0	0	0	0	0	188.014	0	96.0879	12.5279	11.5862	0	0	28.2536	11.1273	0	30.1477	0	0	0	424.273	180.06	0	0	25.9239	0	0	0	5.24864	25.0895	0	0	6.62512
PWY-7046: 4-coumarate degradation (anaerobic)	279.117	78.5499	16.7196	30.7914	16.3826	104.215	8.88477	131.445	1009.55	394.056	100.179	96.0153	59.5614	283.079	0	778.885	36.9217	128.678	20.7503	276.234	250.325	53.1512	6.26384	998.204	215.104	29.2079	17.6309	457.281	201.341	100.408	135.712	287.443	24.7542	48.4656	61.7912	104.576
PWY-7094: fatty acid salvage	97.8892	0	0	0	0	35.4036	24.6745	211.547	790.104	320.825	28.6993	102.079	41.2154	191.967	0	536.339	314.18	39.0005	0	535.5	169.352	0	34.189	563.312	95.8842	16.0436	0	231.246	59.9241	104.322	100.113	7.02132	194.426	406.829	82.5305	171.888
PWY-7111: pyruvate fermentation to isobutanol (engineered)	10898.3	12566.2	11068.3	11828.9	10900.9	14778.7	11493.7	11825.1	8429.4	8021.18	10438.2	10261.1	11157.3	11971.6	15481.4	10035.8	8792.86	11845	10685	10552.7	10814.7	11442.3	10697.9	8139.84	8489.7	10986.5	16168.5	9691.78	10008	9248.1	11452.7	10092.8	12115.5	10384.8	12270.9	7473.25
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type"	293.966	417.464	83.5763	18.647	115.25	232.38	14.3239	1163.42	1643.68	988.748	38.8235	455.026	196.08	725.667	211.067	569.254	1516.75	31.5522	1110.24	641.719	138.949	1220.49	540.575	737.547	572.557	169.164	331.431	1006.76	146.461	298.864	295.696	181.412	418.234	1462.97	578.731	1562.9
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type"	1137.26	705.875	100.469	196.408	85.442	257.869	160.56	1583.55	4085.49	2867.21	642.051	1566.28	618.261	1978.18	262.756	2915.1	1555.65	649.999	1508.25	1792.46	1809.54	1667.31	788.185	3199.64	2808.26	579.104	386.927	2568.03	920.378	974.733	723.232	1650.77	675.657	1376.73	522.08	4019.44
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway)	0	0	0	0	0	0	0	0	588.357	128.26	0	141.259	0	227.181	0	0	32.2513	0	26.5663	0	0	4.08773	0	0	138.118	0	0	316.506	0	0	0	0	85.4599	296.681	11.7535	504.589
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	5555.34	3847.73	4779.85	4801.24	6188.3	3334.59	1991.14	5141.91	3234.77	3600.73	2090.5	2500.07	4288.87	2302.63	3983.62	3233.05	5378.77	4807.93	3845.35	4567.15	4388.95	3521.77	4094.82	3248.14	5535.93	4489.31	3970.36	3064.68	2333.47	2684.4	6155.78	5491.82	4148.23	4358.66	2393.84	4821.41
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	4754.21	4330.4	4446.18	5070.01	5662.33	3500.57	1997.45	4771.27	3130.21	3442.82	2214.73	2350.82	3041.81	2398.27	3018.1	2588.98	6358.31	4582.72	4467.14	4279.62	4123.27	4295.62	3825.83	3364.92	4997.09	4503.76	3237.59	3199.27	2478.01	2777.17	5027.63	5416.67	4839.04	4380.32	3767.15	3975.31
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	122.455	1344.34	659.701	884.426	543.99	857.58	1256.19	444.32	54.9796	227.659	857.96	586.909	743.892	225.299	1043.32	36.8247	395.874	825.995	600.169	823.18	346.729	773.523	409.243	629.724	124.429	437.439	924.618	555.376	768.906	1605.29	586.409	2121.74	1539.13	1759.73	1970.22	959.964
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	3606.65	2348.77	2940.63	3335.79	4058.07	2319.6	1000.14	3051.71	2100.61	2044.53	1033.7	1267.96	1528.79	1509.3	2202.53	1952.33	3997.28	2947.27	2616.67	3005.6	2627.12	2375.13	2253.09	2067.35	4303.41	2657.99	2439.91	2169.84	1188.9	1406.58	4458.41	3649.67	2831.69	3150.16	1573.42	4242.29
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	576.472	934.266	1806.71	637.401	442.926	1115.98	512.153	1322.02	1897.51	229.578	374.639	1248.22	1989.86	473.94	972.717	0	710.911	1046.14	1584.35	362.873	396.987	1445.87	308.628	830.833	398.111	1086.18	1489.54	601.979	408.688	928.804	512.004	1801.65	2140.11	453.642	987.005	920.257
PWY-7199: pyrimidine deoxyribonucleosides salvage	8518.08	9300.97	9076.53	9541.44	10030.3	10091.8	10569.2	8720.52	3176.11	6514.62	9231.15	9114.97	9170.19	6573.3	11900.9	6238.58	7074.29	10207.1	8486.69	6692.12	8241.45	8635.96	10793.6	4307.09	5659.55	9010.06	10470	5223.23	8426.5	8017.35	7840.97	7469.27	7385.36	6608.52	7910.09	3604.75
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	0	0	23.8572	64.126	0	164.034	0	0	0	0	0	0	0	0	0	0	190.795	0	580.954	0	0	509.687	0	0	221.266	0	64.7341	0	0	0	24.4145	0	245.193	0	656.356	0
